top - 10:16:46 up 1 day, 16:16,  0 users,  load average: 1.55, 1.13, 1.04
Tasks: 221 total,   1 running, 220 sleeping,   0 stopped,   0 zombie
Cpu(s):  1.7%us,  0.8%sy,  0.0%ni, 97.4%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:    316656k total,   190944k used,   125712k free,    20784k buffers
Swap:        0k total,        0k used,        0k free,    81456k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
13537 root      18  -2  2716 1108  792 R  8.8  0.3   0:00.12 top                
  942 root      RT   0  553m  42m  15m S  1.8 13.7  51:47.91 BspIsrTask         
 1066 root      20   0  553m  42m  15m S  1.8 13.7   0:37.80 UPNP_SsdpLis_0     
    1 root      20   0  3176  612  532 S  0.0  0.2   0:01.23 init               
    2 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kthreadd           
    3 root      15  -5     0    0    0 S  0.0  0.0   0:02.19 ksoftirqd/0        
    4 root      15  -5     0    0    0 S  0.0  0.0   0:01.55 events/0           
    5 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 khelper            
    8 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 async/mgr          
   84 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kblockd/0          
   89 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 ata/0              
   90 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 ata_aux            
   91 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 ksuspend_usbd      
   96 root      15  -5     0    0    0 S  0.0  0.0   0:00.01 khubd              
  119 root      20   0     0    0    0 S  0.0  0.0   0:00.00 pdflush            
  120 root      20   0     0    0    0 S  0.0  0.0   0:00.23 pdflush            
  121 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kswapd0            
  122 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 aio/0              
  123 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 nfsiod             
  170 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_0          
  173 root      15  -5     0    0    0 S  0.0  0.0   0:00.01 scsi_eh_1          
  183 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 mtdblockd          
  199 root      15  -5     0    0    0 D  0.0  0.0   0:00.00 wd_keepalive       
  202 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 rpciod/0           
  245 root      16  -4  1880  420  332 S  0.0  0.1   0:00.02 udevd              
  327 root      30  10     0    0    0 S  0.0  0.0   0:01.95 jffs2_gcd_mtd3     
  640 root      20   0  3176  596  456 S  0.0  0.2   0:06.12 syslogd            
  642 root      20   0  3176  540  444 S  0.0  0.2   0:00.01 klogd              
  715 root      20   0  1692  196  136 S  0.0  0.1   0:00.00 wd-monitor         
  752 root      20   0  3176  676  592 S  0.0  0.2   0:00.06 run_system_server.s
  756 root      20   0  2360  644  560 S  0.0  0.2   0:00.00 in.tftpd           
  766 root      20   0  1756  408  340 S  0.0  0.1   0:00.05 sys_server         
  767 root      20   0  3500  824  720 S  0.0  0.3   0:00.00 logger             
  795 root      20   0  1844  424  332 S  0.0  0.1   0:03.05 nscd               
  888 root      20   0  3240  296  176 S  0.0  0.1   0:00.00 run_motocap.sh     
  889 root      20   0 10336 3268 2540 S  0.0  1.0   0:00.76 dev                
  919 root      20   0 10336 3268 2540 S  0.0  1.0   0:00.42 UPNP_SsdpCS_0      
  920 root      20   0 10336 3268 2540 S  0.0  1.0   0:09.02 UPNP_SsdpLis_0     
  921 root      20   0 10336 3268 2540 S  0.0  1.0   0:00.03 UPNP_SocSer_0      
  923 root      20   0 10336 3268 2540 S  0.0  1.0   0:00.09 UPNP_HttpSer_0     
  924 root      20   0 10336 3268 2540 S  0.0  1.0   0:46.07 UPNP_Events_0      
  927 root      20   0 10336 3268 2540 S  0.0  1.0   0:00.00 UPNP_HttpSer_0     
  929 root      20   0 10336 3268 2540 S  0.0  1.0   0:00.00 UPNP_HttpSer_0     
  931 root      20   0 10336 3268 2540 S  0.0  1.0   0:00.00 UPNP_HttpSer_0     
  933 root      20   0 10336 3268 2540 S  0.0  1.0   0:00.00 UPNP_HttpSer_0     
  935 root      20   0 10336 3268 2540 S  0.0  1.0   0:00.00 UPNP_HttpSer_0     
  937 root      20   0 10336 3268 2540 S  0.0  1.0   0:00.00 UPNP_HttpSer_0     
  938 root      20   0 10336 3268 2540 S  0.0  1.0   0:00.00 UPNP_Timer_0       
  890 root      20   0  3176  576  496 S  0.0  0.2   0:00.00 tee                
  891 root      20   0  3500  740  644 S  0.0  0.2   0:00.00 logger             
  903 root      20   0  553m  42m  15m S  0.0 13.7   0:32.60 main               
  943 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 HalEcmRnonvol_0    
  944 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 DemuxMsg_1         
  945 root     -31   0  553m  42m  15m S  0.0 13.7   0:00.00 DemuxPSub_1        
  946 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 DemxCdb_1          
  947 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 DemxItb_1          
  948 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 DemxCdb_2          
  949 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 DemxItb_2          
  950 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 DemxCdb_3          
  951 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 DemxItb_3          
  952 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 DemxCdb_4          
  953 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 DemxItb_4          
  954 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 DemxCdb_5          
  955 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 DemxItb_5          
  956 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 DemxCdb_6          
  957 root     -81   0  553m  42m  15m S  0.0 13.7   0:00.00 DemxItb_6          
  958 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 HalUIthread_0      
  959 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 HalTunerRPCNot_0   
  960 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 HalTunerUtil_0     
  961 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 BhlTimer_0         
  965 root     -66   0  553m  42m  15m S  0.0 13.7   0:00.27 DSGRHLPT_0         
  966 root     -66   0  553m  42m  15m S  0.0 13.7   0:00.00 CDLRHLPT_0         
  967 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 EstbCfgFile_0      
  968 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 CblCDetIst_1       
  969 root     -55   0  553m  42m  15m S  0.0 13.7   0:00.07 CblCIst_1          
  970 root      20   0  553m  42m  15m S  0.0 13.7   0:00.49 FEPDiagnostic_0    
  976 root     -76   0  553m  42m  15m S  0.0 13.7   0:00.00 OSUWDOG_0          
  977 root     -91   0  553m  42m  15m S  0.0 13.7   0:00.00 ItTimer_0          
  981 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 DsgControlThr_0    
  984 root     -63   0  553m  42m  15m S  0.0 13.7   0:00.80 DOCMET_0           
  986 root      20   0  553m  42m  15m S  0.0 13.7   0:00.14 HostExtRes_0       
  987 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 OOBTx_0            
  988 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 HdmiHdcpThread_0   
  989 root      20   0  553m  42m  15m S  0.0 13.7   0:00.02 HotPlugMonitor_0   
  990 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 CPPOSA0_0          
  991 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 IPNOTIFY_0         
  998 root      20   0  553m  42m  15m S  0.0 13.7   0:02.26 PclEcmMonitor_0    
  999 root      20   0  553m  42m  15m S  0.0 13.7   0:00.07 PclProvThread_0    
 1021 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 MoCALoop_0         
 1022 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 1394TNFCB_0        
 1023 root      20   0  553m  42m  15m S  0.0 13.7   0:00.02 mpTimer_0          
 1024 root     -75   0  553m  42m  15m S  0.0 13.7   0:00.00 1394BRI_0          
 1025 root     -74   0  553m  42m  15m S  0.0 13.7   0:00.00 1394BMC_0          
 1026 root     -73   0  553m  42m  15m S  0.0 13.7   0:00.00 1394BMD_0          
 1027 root     -72   0  553m  42m  15m S  0.0 13.7   0:00.00 1394BR_0           
 1028 root     -71   0  553m  42m  15m S  0.0 13.7   0:00.00 1394RESP_0         
 1029 root     -70   0  553m  42m  15m S  0.0 13.7   0:00.00 1394BRA_0          
 1030 root     -69   0  553m  42m  15m S  0.0 13.7   0:00.00 1394IND_0          
 1031 root     -68   0  553m  42m  15m S  0.0 13.7   0:00.00 1394RES_0          
 1032 root     -67   0  553m  42m  15m S  0.0 13.7   0:00.00 1394REQ_0          
 1033 root     -66   0  553m  42m  15m S  0.0 13.7   0:00.00 1394CLT_0          
 1034 root     -65   0  553m  42m  15m S  0.0 13.7   0:00.00 1394DMA_0          
 1035 root     -64   0  553m  42m  15m S  0.0 13.7   0:00.00 1394SPLT_0         
 1036 root      20   0  553m  42m  15m S  0.0 13.7   0:06.19 1394TH_0           
 1037 root     -63   0  553m  42m  15m S  0.0 13.7   0:00.00 1394ISO_0          
 1038 root     -62   0  553m  42m  15m S  0.0 13.7   0:00.00 1394DTV_0          
 1039 root     -61   0  553m  42m  15m S  0.0 13.7   0:00.00 1394RBC_0          
 1040 root     -60   0  553m  42m  15m S  0.0 13.7   0:00.00 1394AVC_0          
 1041 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 1394TMCB_0         
 1042 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 1394UI_0           
 1043 root      20   0  553m  42m  15m S  0.0 13.7   0:00.00 1394CALLQ_0        
 1044 root      -2   0  553m  42m  15m S  0.0 13.7   0:00.00 RmThread_0         
